Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19307.159999999996,231685.92,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,9147,109764.00,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,9366.976,112403.71,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m6gd.8xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),S3 bucket,S3 Standard,0,25.7,308.40,USD,,"S3 Standard storage (1000 GB per month), Data returned by S3 Select (1000 GB per month), Data scanned by S3 Select (1000 GB per month)"
My Estimate,US East (N. Virginia),S3 bucket,S3 Intelligent - Tiering,0,23.16,277.92,USD,,"S3 INT Average Object Size (16 MB), Percentage of Storage in INT-Frequent Access Tier (1), S3 INT storage (1000 GB per month)"
My Estimate,US East (N. Virginia),S3 bucket,S3 Standard - Infrequent Access,0,12.5,150.00,USD,,S3 Standard-IA storage (1000 GB per month)
My Estimate,US East (N. Virginia),S3 bucket,S3 Glacier Deep Archive,0,1,12.00,USD,,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (1000 GB per month)"
My Estimate,US East (N. Virginia),S3 bucket,Data Transfer,0,0,0.00,USD,,"DT Inbound: All other regions (1 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),VPC,VPN Connection,0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,37.35,448.20,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),VPC,Data Transfer,0,0,0.00,USD,,"DT Inbound: All other regions (1000 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server Load balancer,Application Load Balancer,0,441.65000000000003,5299.80,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),route 53,Amazon Route 53,0,176.5,2118.00,USD,,"IP (CIDR) blocks (1000), Hosted Zones (1)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,2.32,27.84,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1), Number of EIP remaps (10)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

"The changes been made									"
"RDS service chane from m5.4xlarge to m5.8xlarge									"
"S3 bucket adds the S3 Intelligent - Tiering, S3 Glacier Deep Archive to store infrequently files									"
"EC2 service change the instance from m5a.4xlarge to m6gd.8xlarge and add 2 instances more									"
"Application Load Balancer increases Load Balancer Capacity									"

